wikidata_id,label,uri
Q4029372,1895 in aviation,http://www.wikidata.org/entity/Q4029372
Q16938782,1897 in aviation,http://www.wikidata.org/entity/Q16938782
Q600027,Sri Lanka Air Force,http://www.wikidata.org/entity/Q600027
Q110865834,aeronautical technical institute,http://www.wikidata.org/entity/Q110865834
Q20050859,aerodynamics engineering,http://www.wikidata.org/entity/Q20050859
Q2002451,Republic of Singapore Air Force,http://www.wikidata.org/entity/Q2002451
Q89421588,Aeronautics and Chemical Engineering Extension,http://www.wikidata.org/entity/Q89421588
Q77305023,aeronautics at the Summer Olympics,http://www.wikidata.org/entity/Q77305023
Q1092290,Hungarian Air Force,http://www.wikidata.org/entity/Q1092290
Q102314666,aeronautical science,http://www.wikidata.org/entity/Q102314666
Q700918,Austrian Air Force,http://www.wikidata.org/entity/Q700918
Q4688351,Aeronautical Development Agency,http://www.wikidata.org/entity/Q4688351
Q3381660,Aeronautical phraseology,http://www.wikidata.org/entity/Q3381660
Q2331387,Yugoslav Air Force,http://www.wikidata.org/entity/Q2331387
Q16938783,1891 in aviation,http://www.wikidata.org/entity/Q16938783
Q2780138,aeronautical mobile-satellite service,http://www.wikidata.org/entity/Q2780138
Q655272,Czech Air Force,http://www.wikidata.org/entity/Q655272
Q371241,Aeronautical Accidents Investigation and Prevention Center,http://www.wikidata.org/entity/Q371241
Q508353,Aeronáutica,http://www.wikidata.org/entity/Q508353
Q4033479,Aeronautics Defense Dominator,http://www.wikidata.org/entity/Q4033479
Q698296,Korean People's Army Air Force,http://www.wikidata.org/entity/Q698296
Q2735209,Vietnam People's Air Force,http://www.wikidata.org/entity/Q2735209
Q2327398,Philippine Air Force,http://www.wikidata.org/entity/Q2327398
Q500407,Colombian Air Force,http://www.wikidata.org/entity/Q500407
Q2556685,United Arab Emirates Air Force,http://www.wikidata.org/entity/Q2556685
Q1347042,Libyan Air Force,http://www.wikidata.org/entity/Q1347042
Q2060623,Aeronáutica Agrícola Mexicana SA,http://www.wikidata.org/entity/Q2060623
Q3816296,"Aeronautics Museum Cnel. (AV) ""Luis  Hernán Paredes""",http://www.wikidata.org/entity/Q3816296
Q977927,Aeronautica Imperialis,http://www.wikidata.org/entity/Q977927
Q1472842,Mexican Air Force,http://www.wikidata.org/entity/Q1472842
Q723344,Bolivarian National Military Aviation of Venezuela,http://www.wikidata.org/entity/Q723344
Q3249104,Salon du livre aéronautique,http://www.wikidata.org/entity/Q3249104
Q381578,aeronautical fixed service,http://www.wikidata.org/entity/Q381578
Q3247893,Technicien aéronautique d'exploitation,http://www.wikidata.org/entity/Q3247893
Q2986499,Advisory Committee for Aeronautics,http://www.wikidata.org/entity/Q2986499
Q1075380,Uganda People's Defence Force,http://www.wikidata.org/entity/Q1075380
Q30296971,Aeronautics Research and Development Board,http://www.wikidata.org/entity/Q30296971
Q52018268,Aeronautical Quarterly,http://www.wikidata.org/entity/Q52018268
Q2320062,Uruguayan Air Force,http://www.wikidata.org/entity/Q2320062
Q24882929,Aeronautics Research Mission Directorate,http://www.wikidata.org/entity/Q24882929
Q4688350,Aeronautical Development Establishment,http://www.wikidata.org/entity/Q4688350
Q4688365,Aeronautics Act,http://www.wikidata.org/entity/Q4688365
Q1275390,aeronautical radionavigation service,http://www.wikidata.org/entity/Q1275390
Q4688361,Aeronautical Systems Center,http://www.wikidata.org/entity/Q4688361
Q1707397,Nigerian Air Force,http://www.wikidata.org/entity/Q1707397
Q4688360,Aeronautical Society of India,http://www.wikidata.org/entity/Q4688360
Q19031217,Aeronautical Industrial District Lodge 727 v. Campbell,http://www.wikidata.org/entity/Q19031217
Q4688352,Aeronautical College of Bangladesh,http://www.wikidata.org/entity/Q4688352
Q10009682,1888 in aviation,http://www.wikidata.org/entity/Q10009682
Q10328079,Aeronautical Merit Medal,http://www.wikidata.org/entity/Q10328079
Q4688363,Aeronautical and Astronautical Research Laboratory,http://www.wikidata.org/entity/Q4688363
Q61053416,Aeronautics Buildings,http://www.wikidata.org/entity/Q61053416
Q1076241,Serbian Air Force and Air Defence,http://www.wikidata.org/entity/Q1076241
Q30273485,Aeronautical and General Instruments,http://www.wikidata.org/entity/Q30273485
Q105771153,aeronautical systems,http://www.wikidata.org/entity/Q105771153
Q2737238,Kuwait Air Force,http://www.wikidata.org/entity/Q2737238
Q3022671,Burkina Faso military,http://www.wikidata.org/entity/Q3022671
Q4920908,Myanmar Air Force,http://www.wikidata.org/entity/Q4920908
Q2341000,Revolutionary Air and Air Defense Force,http://www.wikidata.org/entity/Q2341000
Q1091526,Lithuanian Air Force,http://www.wikidata.org/entity/Q1091526
Q3747934,Benin People's Air Force,http://www.wikidata.org/entity/Q3747934
Q897697,Qatar Armed Forces,http://www.wikidata.org/entity/Q897697
Q569328,Air Force and Anti-Air Defence Brigade,http://www.wikidata.org/entity/Q569328
Q2535173,South Vietnam Air Force,http://www.wikidata.org/entity/Q2535173
Q2661064,Honduran Air Force,http://www.wikidata.org/entity/Q2661064
Q3754039,Paraguayan Air Force,http://www.wikidata.org/entity/Q3754039
Q1137368,Ghana Air Force,http://www.wikidata.org/entity/Q1137368
Q2083597,Somali Air Force,http://www.wikidata.org/entity/Q2083597
Q2735944,Sudanese Air Force,http://www.wikidata.org/entity/Q2735944
Q1631923,Botswana Defence Force Air Wing,http://www.wikidata.org/entity/Q1631923
Q1137383,Kenya Air Force,http://www.wikidata.org/entity/Q1137383
Q17073093,Uzbekistan Air and Air Defence Forces,http://www.wikidata.org/entity/Q17073093
Q105870754,aeronautical electronics,http://www.wikidata.org/entity/Q105870754
Q38212329,Aeronautical Information Service,http://www.wikidata.org/entity/Q38212329
Q24084390,Aeronautics Learning Laboratory for Science Technology and Research,http://www.wikidata.org/entity/Q24084390
Q96241181,Tekhnika vozdushnogo flota,http://www.wikidata.org/entity/Q96241181
Q129884,Aviation and Air Defence Command of the Defence Forces of Georgia,http://www.wikidata.org/entity/Q129884
Q18707083,Malagasy Air Force,http://www.wikidata.org/entity/Q18707083
Q4114403,Djibouti Air Force,http://www.wikidata.org/entity/Q4114403
Q2413031,Cyprus Air Command,http://www.wikidata.org/entity/Q2413031
Q3748931,Royal Romanian Air Force,http://www.wikidata.org/entity/Q3748931
Q2406845,Royal Brunei Air Force,http://www.wikidata.org/entity/Q2406845
Q1629562,Air Force of Zimbabwe,http://www.wikidata.org/entity/Q1629562
Q2656151,Cameroon Air Force,http://www.wikidata.org/entity/Q2656151
Q1635612,Ivory Coast air force,http://www.wikidata.org/entity/Q1635612
Q2446880,Senegalese Air Force,http://www.wikidata.org/entity/Q2446880
Q713269,Manchukuo Air Force,http://www.wikidata.org/entity/Q713269
Q18696776,Kyrgyz Air and Air Defense Force,http://www.wikidata.org/entity/Q18696776
Q2519800,Legionary Air Force,http://www.wikidata.org/entity/Q2519800
Q221156,Slovenian Air Force and Air Defence,http://www.wikidata.org/entity/Q221156
Q16524667,Q16524667,http://www.wikidata.org/entity/Q16524667
Q2336430,Eritrean Air Force,http://www.wikidata.org/entity/Q2336430
Q3748928,Mozambique Air Force,http://www.wikidata.org/entity/Q3748928
Q3806396,Jamaica Defence Force Air Wing,http://www.wikidata.org/entity/Q3806396
Q109036008,Q109036008,http://www.wikidata.org/entity/Q109036008
Q2825648,Q2825648,http://www.wikidata.org/entity/Q2825648
Q794533,Aéronautique Militaire,http://www.wikidata.org/entity/Q794533
Q2642956,Aviation Brigade,http://www.wikidata.org/entity/Q2642956
Q9283211,Equatorial Guinea Air Force,http://www.wikidata.org/entity/Q9283211
Q17146761,Tajik Air Force,http://www.wikidata.org/entity/Q17146761
Q3930485,Air Force of Serbia and Montenegro,http://www.wikidata.org/entity/Q3930485
Q695133,Austrian Space Agency,http://www.wikidata.org/entity/Q695133
Q2479966,timeline of aviation – 19th century,http://www.wikidata.org/entity/Q2479966
Q4033478,Aeronautics Aerostar,http://www.wikidata.org/entity/Q4033478
Q3564112,Aeronautical Fixed Telecommunication Network,http://www.wikidata.org/entity/Q3564112
Q15895020,aerospace engineer,http://www.wikidata.org/entity/Q15895020
Q381581,Aeronautical Telecommunication Network,http://www.wikidata.org/entity/Q381581
Q16974321,Aeronautica Lombarda AL-3,http://www.wikidata.org/entity/Q16974321
Q381580,Aeronauticum,http://www.wikidata.org/entity/Q381580
Q3605995,Aeronautica Lombarda A.R.,http://www.wikidata.org/entity/Q3605995
Q11613846,Aeronautical Safety College,http://www.wikidata.org/entity/Q11613846
Q108741387,Aeronautics and Space Research Organization,http://www.wikidata.org/entity/Q108741387
Q2662794,aeronautical station,http://www.wikidata.org/entity/Q2662794
Q16001966,Aeronautica Lombarda AL-12P,http://www.wikidata.org/entity/Q16001966
Q2578078,Canadian Forces Air Command,http://www.wikidata.org/entity/Q2578078
Q27961305,"Palazzo Aeronautica, Rome",http://www.wikidata.org/entity/Q27961305
Q4688357,Aeronautical Operational Control,http://www.wikidata.org/entity/Q4688357
Q5300117,Aeronautical Institute of Bangladesh,http://www.wikidata.org/entity/Q5300117
Q1941515,aeronautical mobile (OR) service,http://www.wikidata.org/entity/Q1941515
Q25245366,pilot decision making,http://www.wikidata.org/entity/Q25245366
Q12749544,Aeronautical Union of Serbia,http://www.wikidata.org/entity/Q12749544
Q19279664,aeronautical radionavigation-satellite service,http://www.wikidata.org/entity/Q19279664
Q15835431,aeronautical mobile-satellite (R) service,http://www.wikidata.org/entity/Q15835431
Q4688356,Aeronautical Message Handling System,http://www.wikidata.org/entity/Q4688356
Q15835430,aeronautical mobile-satellite (OR) service,http://www.wikidata.org/entity/Q15835430
Q10348380,aeronautical pentathlon at the 2011 Military World Games,http://www.wikidata.org/entity/Q10348380
Q83321607,aeronautical pentathlon at the 2019 Military World Games,http://www.wikidata.org/entity/Q83321607
Q1941517,aeronautical mobile (R) service,http://www.wikidata.org/entity/Q1941517
Q124504745,aeronautics at the 1936 Summer Olympics,http://www.wikidata.org/entity/Q124504745
Q21948585,aeronautical earth station,http://www.wikidata.org/entity/Q21948585
Q131800504,Q131800504,http://www.wikidata.org/entity/Q131800504
Q4688368,Aeronautics Reference,http://www.wikidata.org/entity/Q4688368
Q23808278,Aeronautical Syndicate Ltd,http://www.wikidata.org/entity/Q23808278
Q56292250,Aeronautica Bonomi,http://www.wikidata.org/entity/Q56292250
Q4688362,Aeronautical and Space Medicine Unit,http://www.wikidata.org/entity/Q4688362
Q4688358,Aeronautical Rescue Coordination Centre,http://www.wikidata.org/entity/Q4688358
Q4688353,Aeronautical Emergency Communications System Plan,http://www.wikidata.org/entity/Q4688353
Q10286464,Airway Fund,http://www.wikidata.org/entity/Q10286464
Q85739931,Aeronautical Development Establishment,http://www.wikidata.org/entity/Q85739931
Q20312432,Aeronautical Code signal,http://www.wikidata.org/entity/Q20312432
Q16306529,Aeronautical Radio of Thailand,http://www.wikidata.org/entity/Q16306529
Q4688355,Aeronautical Information Manual,http://www.wikidata.org/entity/Q4688355
Q117808650,Aeronautical and Support Equipment Type Designation System,http://www.wikidata.org/entity/Q117808650
Q29018593,Aeronautical pipe,http://www.wikidata.org/entity/Q29018593
Q4688364,Aeronautical chart conventions,http://www.wikidata.org/entity/Q4688364
Q4688354,Aeronautical Engineering Review,http://www.wikidata.org/entity/Q4688354
Q2096661,Abkhazian Air Force,http://www.wikidata.org/entity/Q2096661
Q1640622,Gabon Air Force,http://www.wikidata.org/entity/Q1640622
Q66295537,Aeronautical Files (NAID 12059184),http://www.wikidata.org/entity/Q66295537
